name,status,rejectReason,Notes,rejectedInSDFC,companyUrl,slug
Vesuvio,rejected,No crunchbase,,,,vesuvio
Ground Vu,rejected,No crunchbase,,y,	Ground.vu,ground-vu
Handytec Mobi,rejected,Over 15 employees,,y,https://www.handytec.mobi/en/,handytec-mobi
Cyberdirekt,rejected,Over $1M in funding,,y,https://www.crunchbase.com/organization/cyberdirekt,cyberdirekt
Termin2Go,pending,,asked for more info,,https://www.termin2go.com/,termin2go
WakeCap,rejected,Over $1M in funding,,y,https://angel.co/wakecap,wakecap
Tendly,rejected,Over $1M in funding ,,y,https://www.crunchbase.com/organization/tend-ly#section-overview,tendly
Moll Tech,rejected,Agency,,y,https://angel.co/moll-tech,moll-tech
Full Fill TV,pending,,asked for more info,,,full-fill-tv
Mabow,pending,No crunchbase,asked for more info,,,mabow
Unifynd,rejected,Agency,,y,https://angel.co/unifynd-technologies,unifynd
Blackbird.ai,rejected,In business +2 years,,,,blackbirdai
Orangry,pending,,asked for more info,,,orangry
Apprentx,rejected,,,y,,apprentx
Jeeon,pending,,asked for more info,,,jeeon
Softstack Factory,rejected,In business +2 years,,y,,softstack-factory
Conics,rejected,Agency,,y,,conics
Neybor,pending,,asked for more info,,,neybor
Call Hippo,rejected,Over 15 employees,,y,,call-hippo
Uber Myanmar,pending,,asked for more info,,,uber-myanmar
Hirerobin.ai,pending,,asked for more info,,,hirerobinai
Minizone,pending,,asked for more info,,,minizone
n/a,pending,,asked for more info,,,na
Offset Earth,pending,,asked for more info,,,offset-earth
tePazari.com,pending,,asked for more info,,,tepazaricom
ADX Corp,pending,,,,http://www.adxcorp.kr/en/,adx-corp
Te Pema,pending,,asked for more info,,,te-pema
www.acledabank.com.kh,pending,,,,,wwwacledabankcomkh
Sukan,pending,,asked for more info,,,sukan
Pafi,pending,,asked for more info,,,pafi
bTaskee,rejected,Over 15 employees,,y,,btaskee
BAG-ERA,pending,,asked for more info,,,bag-era
,pending,,asked for more info,,,
VTB Solutions,pending,,asked for more info,,,vtb-solutions
Servis Yolda,pending,,asked for more info,,,servis-yolda
Veriper,pending,,asked for more info,,	https://veriper.com,veriper
Unniti,pending,,asked for more info,,,unniti
Octissio,pending,,asked for more info,,,octissio
TheNextDev,pending,,asked for more info,,,thenextdev
Mobisec Brazil,pending,,asked for more info,,,mobisec-brazil
Advertbaas,pending,,asked for more info,,,advertbaas
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
Necord,pending,,asked for more info,,https://angel.co/company/necord,necord
Aurora Digital,pending,,asked for more info,,,aurora-digital
Aten,pending,,asked for more info,,,aten
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
4 U Machines,pending,,asked for more info,,,4-u-machines
Ramirez Shopify,pending,,asked for more info,,,ramirez-shopify
Helping for education,pending,,asked for more info,,,helping-for-education
StarkySpot,pending,,asked for more info,,,starkyspot
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
Wkt,pending,,asked for more info,,,wkt
KapsAll,pending,,asked for more info,,,kapsall
Frank Velasco Films,pending,,asked for more info,,,frank-velasco-films
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
TPS,pending,,asked for more info,,,tps
Newberry,rejected,,,,http://newberry.sg/,newberry
Shipmnts,pending,Already accepted,asked for more info,,,shipmnts
Appwise OÜ,pending,,asked for more info,,,appwise-oü
Aperim,rejected,Agency,,y,,aperim
Dasa Aprilindo Sentosa,rejected,Agency,,y,,dasa-aprilindo-sentosa
Brain Station 23,rejected,Agency,,y,,brain-station-23
Geek Business Lab,pending,,asked for more info,,,geek-business-lab
Mysterico,pending,,asked for more info,,,mysterico
n/a,pending,,asked for more info,,,na
"PGM construction & constructing technologies, LLC",pending,,asked for more info,,,pgm-construction-constructin
Rimbos,pending,,asked for more info,,,rimbos
Buffolio,pending,,asked for more info,,,buffolio
Botnoi Consulting,pending,,asked for more info,,,botnoi-consulting
tCognition,pending,Agency,,,,tcognition
Jarchi,pending,,,,,jarchi
Jafton,pending,,,,,jafton
FSE,pending,,,,,fse
Nakashi,pending,,asked for more info,,,nakashi
Box Reinvented,pending,,asked for more info,,,box-reinvented
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
One Source,pending,,asked for more info,,,one-source
Project Rover,pending,,asked for more info,,,project-rover
Digital Oxygen,pending,,asked for more info,,,digital-oxygen
,pending,,asked for more info,,,
Wikandoo,pending,,asked for more info,,,wikandoo
Tremor.tech,pending,Agency,,,,tremortech
,pending,,asked for more info,,,
Big Baller Brand,pending,,asked for more info,,,big-baller-brand
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
n/a,pending,,asked for more info,,,na
Eftrade Consulting,pending,Agency,,,,eftrade-consulting
Thapovan Info Systems,pending,Agency,,,,thapovan-info-systems
Lil'GG'S,pending,,asked for more info,,,lilggs
Releasly.co,pending,,asked for more info,,,releaslyco
CM Projects,pending,,asked for more info,,,cm-projects
Starlly,pending,,,,,starlly
Delnie,pending,,asked for more info,,,delnie
InSpy,pending,,asked for more info,,,inspy
Elice,pending,,asked for more info,,,elice